Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent
GCF_040611415.1	Streptomyces cinerochromogenes	NPDC006651	9297676	106877	6721948	72.5
GCA_014648635.1	Streptomyces cinerochromogenes	JCM 3385	9098877	354079	6595922	72.5
GCA_040611415.1	Streptomyces cinerochromogenes	NPDC006651	9297676	106877	6721948	72.5
GCF_027270315.1	Streptomyces cinnabarinus	DSM 40467	9621721	9621721	6825964	71
GCA_000715615.1	Streptomyces cinnabarinus	NRRL B-12382	10199242	4565	6640092	70.5
GCA_027270315.1	Streptomyces cinnabarinus	DSM 40467	9621721	9621721	6825964	71
GCF_002939475.1	Streptomyces cinnamoneus	DSM 41675	6662690	6463510	4823741	72.5
GCF_002727115.1	Streptomyces cinnamoneus	ATCC 21532	7548962	339798	5449979	72
GCF_014650495.1	Streptomyces cinnamoneus	JCM 4633	7125419	232306	5150997	72.5
GCF_040629925.1	Streptomyces cinnamoneus	NPDC005853	6829170	192464	4929310	72
GCF_040630055.1	Streptomyces cinnamoneus	NPDC005850	7037921	153710	5073045	72
GCF_040678015.1	Streptomyces cinnamoneus	NPDC052878	7082704	147128	5133318	72.5
GCA_002727115.1	Streptomyces cinnamoneus	ATCC 21532	7548962	339798	5449979	72
GCA_002939475.1	Streptomyces cinnamoneus	DSM 41675	6662690	6463510	4823741	72.5
GCA_014650495.1	Streptomyces cinnamoneus	JCM 4633	7125419	232306	5150997	72.5
GCA_040629925.1	Streptomyces cinnamoneus	NPDC005853	6829170	192464	4929310	72
GCA_040630055.1	Streptomyces cinnamoneus	NPDC005850	7037921	153710	5073045	72
GCA_040678015.1	Streptomyces cinnamoneus	NPDC052878	7082704	147128	5133318	72.5
GCF_014650775.1	Streptomyces cirratus	JCM 4738	7269234	436464	5230930	72
GCA_014650775.1	Streptomyces cirratus	JCM 4738	7269234	436464	5230930	72
GCF_017876255.1	Streptomyces clavifer	DSM 40843	7703094	6644253	5479005	71
GCF_014651175.1	Streptomyces clavifer	JCM 5059	7889012	524601	5575120	70.5
GCF_036345975.1	Streptomyces clavifer	NBC_00558	8241378	7749650	5854765	71
GCF_040298525.1	Streptomyces clavifer	NPDC001570	8290039	79509	5886325	71
GCF_040607835.1	Streptomyces clavifer	NPDC005230	7587928	133865	5403108	71
GCF_040608475.1	Streptomyces clavifer	NPDC005177	7831890	69981	5570603	71
GCF_040641695.1	Streptomyces clavifer	NPDC020723	8324486	158614	5909986	71
GCF_040677875.1	Streptomyces clavifer	NPDC053729	7801804	105783	5538264	71
GCF_040683795.1	Streptomyces clavifer	NPDC093227	8077853	302697	5741651	71
GCF_041431075.1	Streptomyces clavifer	NBC 00607	8658548	8611805	6140276	71
GCA_014651175.1	Streptomyces clavifer	JCM 5059	7889012	524601	5575120	70.5
GCA_017876255.1	Streptomyces clavifer	DSM 40843	7703094	6644253	5479005	71
GCA_036345975.1	Streptomyces clavifer	NBC_00558	8241378	7749650	5854765	71
GCA_040298525.1	Streptomyces clavifer	NPDC001570	8290039	79509	5886325	71
GCA_040607835.1	Streptomyces clavifer	NPDC005230	7587928	133865	5403108	71
GCA_040608475.1	Streptomyces clavifer	NPDC005177	7831890	69981	5570603	71
GCA_040641695.1	Streptomyces clavifer	NPDC020723	8324486	158614	5909986	71
GCA_040677875.1	Streptomyces clavifer	NPDC053729	7801804	105783	5538264	71
GCA_040683795.1	Streptomyces clavifer	NPDC093227	8077853	302697	5741651	71
GCA_041431075.1	Streptomyces clavifer	NBC 00607	8658548	8611805	6140276	71
GCF_005519465.1	Streptomyces clavuligerus	ATCC 27064	8544086	6748591	6194557	72.5
GCF_000148465.1	Streptomyces clavuligerus	ATCC 27064	9143376	203387	6612700	72.5
GCF_000154925.1	Streptomyces clavuligerus	ATCC 27064	6941735	16887	4781557	71
GCF_000163875.1	Streptomyces clavuligerus	ATCC 27064	8556892	50310	6182847	72.5
GCF_001693675.1	Streptomyces clavuligerus	F613-1	7590758	6883702	5511241	72.5
GCF_003454755.1	Streptomyces clavuligerus	F1D-5	8059125	6900908	5845207	72.5
GCF_015708605.1	Streptomyces clavuligerus	ATCC 27064	8704802	6748580	6307392	72.5
GCF_015767735.1	Streptomyces clavuligerus	F1D1	7588915	6872022	5510288	72.5
GCF_015767755.1	Streptomyces clavuligerus	F1D4	7665011	6872933	5567067	72.5
GCF_015767775.1	Streptomyces clavuligerus	F1D7	7588082	6868099	5510089	72.5
GCF_015767795.1	Streptomyces clavuligerus	F1D10	7778346	6879575	5651465	72.5
GCF_015767815.1	Streptomyces clavuligerus	F1D14	7790985	6864099	5661245	72.5
GCF_015767855.1	Streptomyces clavuligerus	F1D18	7566514	6859658	5494727	72.5
GCF_015767875.1	Streptomyces clavuligerus	F1D26	7606101	6878125	5522761	72.5
GCF_015767895.1	Streptomyces clavuligerus	F1D31	7597161	6879229	5516619	72.5
GCF_015767915.1	Streptomyces clavuligerus	F1D35	7880370	6883304	5726971	72.5
GCF_015767935.1	Streptomyces clavuligerus	F1D28	7583174	6862413	5506594	72.5
GCF_015912395.1	Streptomyces clavuligerus	ATCC 27064	8856659	9549	6399094	72.5
GCF_015912435.1	Streptomyces clavuligerus	NCIMB 14335	8834712	8002	6379635	72
GCF_015912455.1	Streptomyces clavuligerus	BW0219	6551723	9769	4746851	72.5
GCF_015912465.1	Streptomyces clavuligerus	BW0220	6494773	9241	4704945	72.5
GCF_015912875.1	Streptomyces clavuligerus	DSM 738	8818348	9030	6370702	72
GCF_015912895.1	Streptomyces clavuligerus	NRRL 3585	8816246	7660	6366999	72
GCF_015912925.1	Streptomyces clavuligerus	ATCC 27064	8431857	8743	6093407	72.5
GCF_015912945.1	Streptomyces clavuligerus	NCIMB 12785	8834095	8414	6379792	72
GCF_015912975.1	Streptomyces clavuligerus	BW0218	6618266	9618	4798395	72.5
GCF_015912985.1	Streptomyces clavuligerus	BW0217	6385770	8658	4620202	72.5
GCF_015912995.1	Streptomyces clavuligerus	BW0216	6522740	9656	4727511	72.5
GCF_019831915.1	Streptomyces clavuligerus	K4567	8801067	6881717	6379446	72.5
GCF_028752555.1	Streptomyces clavuligerus	DSM 738	9161304	6748853	6630655	72.5
GCA_000148465.1	Streptomyces clavuligerus	ATCC 27064	9143376	203387	6612700	72.5
GCA_000154925.1	Streptomyces clavuligerus	ATCC 27064	6941735	16887	4781557	71
GCA_000163875.1	Streptomyces clavuligerus	ATCC 27064	8556892	50310	6182847	72.5
GCA_001693675.1	Streptomyces clavuligerus	F613-1	7590758	6883702	5511241	72.5
GCA_003454755.1	Streptomyces clavuligerus	F1D-5	8059125	6900908	5845207	72.5
GCA_005519465.1	Streptomyces clavuligerus	ATCC 27064	8544086	6748591	6194557	72.5
GCA_015708605.1	Streptomyces clavuligerus	ATCC 27064	8704802	6748580	6307392	72.5
GCA_015767735.1	Streptomyces clavuligerus	F1D1	7588915	6872022	5510288	72.5
GCA_015767755.1	Streptomyces clavuligerus	F1D4	7665011	6872933	5567067	72.5
GCA_015767775.1	Streptomyces clavuligerus	F1D7	7588082	6868099	5510089	72.5
GCA_015767795.1	Streptomyces clavuligerus	F1D10	7778346	6879575	5651465	72.5
GCA_015767815.1	Streptomyces clavuligerus	F1D14	7790985	6864099	5661245	72.5
GCA_015767835.1	Streptomyces clavuligerus	F1D25	7694104	6855772	5589890	72.5
GCA_015767855.1	Streptomyces clavuligerus	F1D18	7566514	6859658	5494727	72.5
GCA_015767875.1	Streptomyces clavuligerus	F1D26	7606101	6878125	5522761	72.5
GCA_015767895.1	Streptomyces clavuligerus	F1D31	7597161	6879229	5516619	72.5
GCA_015767915.1	Streptomyces clavuligerus	F1D35	7880370	6883304	5726971	72.5
GCA_015767935.1	Streptomyces clavuligerus	F1D28	7583174	6862413	5506594	72.5
GCA_015912395.1	Streptomyces clavuligerus	ATCC 27064	8856659	9549	6399094	72.5
GCA_015912435.1	Streptomyces clavuligerus	NCIMB 14335	8834712	8002	6379635	72
GCA_015912455.1	Streptomyces clavuligerus	BW0219	6551723	9769	4746851	72.5
GCA_015912465.1	Streptomyces clavuligerus	BW0220	6494773	9241	4704945	72.5
GCA_015912875.1	Streptomyces clavuligerus	DSM 738	8818348	9030	6370702	72
GCA_015912895.1	Streptomyces clavuligerus	NRRL 3585	8816246	7660	6366999	72
GCA_015912925.1	Streptomyces clavuligerus	ATCC 27064	8431857	8743	6093407	72.5
GCA_015912945.1	Streptomyces clavuligerus	NCIMB 12785	8834095	8414	6379792	72
GCA_015912975.1	Streptomyces clavuligerus	BW0218	6618266	9618	4798395	72.5
GCA_015912985.1	Streptomyces clavuligerus	BW0217	6385770	8658	4620202	72.5
GCA_015912995.1	Streptomyces clavuligerus	BW0216	6522740	9656	4727511	72.5
GCA_019831915.1	Streptomyces clavuligerus	K4567	8801067	6881717	6379446	72.5
GCA_028752555.1	Streptomyces clavuligerus	DSM 738	9161304	6748853	6630655	72.5
GCF_029223485.1	Streptomyces coacervatus	JCM 17138	11291453	395589	7907810	70
GCF_039539465.1	Streptomyces coacervatus	JCM 17138	10980977	457223	7692287	70
GCA_029223485.1	Streptomyces coacervatus	JCM 17138	11291453	395589	7907810	70
GCA_039539465.1	Streptomyces coacervatus	JCM 17138	10980977	457223	7692287	70
GCF_026341945.1	Streptomyces coelicoflavus	NBC_00465	7935688	5923920	5736207	72.5
GCF_003112555.1	Streptomyces coelicoflavus	NBRC 15399	8727276	527470	6298523	72
GCF_010548385.1	Streptomyces coelicoflavus	SID14163	7950410	16758	5720596	72
GCF_010548435.1	Streptomyces coelicoflavus	SID14172	8146156	18965	5872792	72
GCF_024448155.1	Streptomyces coelicoflavus	DBR11	8141535	39005	5866563	72
GCF_030016275.1	Streptomyces coelicoflavus	S3018	8389030	254586	6063745	72.5
GCF_036101175.1	Streptomyces coelicoflavus	NBC_00357	8381442	7743741	6013998	72
GCF_040299005.1	Streptomyces coelicoflavus	NPDC001050	8290184	233992	5993438	72.5
GCF_040702885.1	Streptomyces coelicoflavus	NPDC060121	8581901	232159	6189711	72
GCA_003112555.1	Streptomyces coelicoflavus	NBRC 15399	8727276	527470	6298523	72
GCA_010548385.1	Streptomyces coelicoflavus	SID14163	7950410	16758	5720596	72
GCA_010548435.1	Streptomyces coelicoflavus	SID14172	8146156	18965	5872792	72
GCA_024448155.1	Streptomyces coelicoflavus	DBR11	8141535	39005	5866563	72
GCA_026341945.1	Streptomyces coelicoflavus	NBC_00465	7935688	5923920	5736207	72.5
GCA_030016275.1	Streptomyces coelicoflavus	S3018	8389030	254586	6063745	72.5
GCA_036101175.1	Streptomyces coelicoflavus	NBC_00357	8381442	7743741	6013998	72
GCA_040299005.1	Streptomyces coelicoflavus	NPDC001050	8290184	233992	5993438	72.5
GCA_040702885.1	Streptomyces coelicoflavus	NPDC060121	8581901	232159	6189711	72
GCF_008124905.1	Streptomyces coelicolor	A3(2) R4-mCherry-14	8585353	235473	6196525	72
GCF_008124975.1	Streptomyces coelicolor	A3(2) R4-mCherry-17	8584079	235697	6195629	72
GCF_008124985.1	Streptomyces coelicolor	A3(2) R4-mCherry-15	8584323	231994	6195848	72
GCF_008125035.1	Streptomyces coelicolor	A3(2) R4-mCherry-18	8584931	231975	6196395	72
GCF_013307045.1	Streptomyces coelicolor	M1154/pAMX4	8476974	356919	6109997	72
GCA_008124905.1	Streptomyces coelicolor	A3(2) R4-mCherry-14	8585353	235473	6196525	72
GCA_008124975.1	Streptomyces coelicolor	A3(2) R4-mCherry-17	8584079	235697	6195629	72
GCA_008124985.1	Streptomyces coelicolor	A3(2) R4-mCherry-15	8584323	231994	6195848	72
GCA_008125035.1	Streptomyces coelicolor	A3(2) R4-mCherry-18	8584931	231975	6196395	72
GCA_013307045.1	Streptomyces coelicolor	M1154/pAMX4	8476974	356919	6109997	72
GCF_000203835.1	Streptomyces coelicolor A3(2)	A3(2)	9054847	8667507	6520296	72
GCF_008124915.1	Streptomyces coelicolor A3(2)	ICSSB 1010	8580007	247047	6193134	72
GCF_008931305.1	Streptomyces coelicolor A3(2)	CFB_NBC_0001	8667664	8667664	6251057	72
GCA_000203835.1	Streptomyces coelicolor A3(2)		9054847	8667507	6520296	72
GCA_008124915.1	Streptomyces coelicolor A3(2)	ICSSB 1010	8580007	247047	6193134	72
GCA_008931305.1	Streptomyces coelicolor A3(2)	CFB_NBC_0001	8667664	8667664	6251057	72
GCF_039532725.1	Streptomyces coeruleofuscus	JCM 4358	9250019	596739	6583903	71
GCA_039532725.1	Streptomyces coeruleofuscus	JCM 4358	9250019	596739	6583903	71
GCF_039542925.1	Streptomyces coeruleoprunus	JCM 6919	7767749	7683881	5636492	72.5
GCA_039542925.1	Streptomyces coeruleoprunus	JCM 6919	7767749	7683881	5636492	72.5
GCF_008705135.1	Streptomyces coeruleorubidus	ATCC 13740	9335698	9335698	6636506	71
GCF_014649195.1	Streptomyces coeruleorubidus	JCM 4292	9421870	221025	6700891	71
GCF_014649455.1	Streptomyces coeruleorubidus	JCM 4359	9302305	216893	6614994	71
GCF_028885415.1	Streptomyces coeruleorubidus	DM	9411092	9411092	6679500	71
GCF_033216215.1	Streptomyces coeruleorubidus	CICC 11043	9323077	9090289	6621112	71
GCF_040611215.1	Streptomyces coeruleorubidus	NPDC002993	9277181	298746	6596192	71
GCF_040611855.1	Streptomyces coeruleorubidus	NPDC006533	9356269	156140	6649307	71
GCF_040631815.1	Streptomyces coeruleorubidus	NPDC019882	9285986	432427	6607232	71
GCF_040641915.1	Streptomyces coeruleorubidus	NPDC020515	9298031	241674	6613804	71
GCF_040643395.1	Streptomyces coeruleorubidus	NPDC047188	9282209	148307	6566559	71
GCF_040645935.1	Streptomyces coeruleorubidus	NPDC046585	9077313	333755	6448361	71
GCA_008705135.1	Streptomyces coeruleorubidus	ATCC 13740	9335698	9335698	6636506	71
GCA_014649195.1	Streptomyces coeruleorubidus	JCM 4292	9421870	221025	6700891	71
GCA_014649455.1	Streptomyces coeruleorubidus	JCM 4359	9302305	216893	6614994	71
GCA_028885415.1	Streptomyces coeruleorubidus	DM	9411092	9411092	6679500	71
GCA_033216215.1	Streptomyces coeruleorubidus	CICC 11043	9323077	9090289	6621112	71
GCA_040611215.1	Streptomyces coeruleorubidus	NPDC002993	9277181	298746	6596192	71
GCA_040611855.1	Streptomyces coeruleorubidus	NPDC006533	9356269	156140	6649307	71
GCA_040631815.1	Streptomyces coeruleorubidus	NPDC019882	9285986	432427	6607232	71
GCA_040641915.1	Streptomyces coeruleorubidus	NPDC020515	9298031	241674	6613804	71
GCA_040643395.1	Streptomyces coeruleorubidus	NPDC047188	9282209	148307	6566559	71
GCA_040645935.1	Streptomyces coeruleorubidus	NPDC046585	9077313	333755	6448361	71
GCF_016741875.1	Streptomyces coffeae	CA1R205	9896405	229793	6994795	70.5
GCA_016741875.1	Streptomyces coffeae	CA1R205	9896405	229793	6994795	70.5
GCF_031348265.1	Streptomyces collinus	CGMCC 4.1623	8867154	8867154	6327020	71.5
GCF_014204745.1	Streptomyces collinus	DSM 40129	8858480	8218552	6320673	71.5
GCF_021496465.1	Streptomyces collinus	SQ	7502433	7502433	5464794	73
GCF_032927875.1	Streptomyces collinus	Inha504	9194571	9194571	6626730	72
GCF_039540655.1	Streptomyces collinus	JCM 4361	8830854	461143	6303971	71.5
GCF_040298545.1	Streptomyces collinus	NPDC001542	8651367	118715	6260642	72.5
GCF_040301045.1	Streptomyces collinus	NPDC000177	8900801	314522	6357731	71.5
GCF_040608895.1	Streptomyces collinus	NPDC004999	8903068	183087	6448458	72.5
GCF_040631495.1	Streptomyces collinus	NPDC020062	9312017	251205	6644467	71.5
GCF_040634125.1	Streptomyces collinus	NPDC007167	8886262	189092	6349498	71.5
GCF_040637625.1	Streptomyces collinus	NPDC028669	9067268	228964	6537399	72
GCF_040679375.1	Streptomyces collinus	NPDC052300	8813917	282320	6379105	72.5
GCF_040683835.1	Streptomyces collinus	NPDC093166	9137865	318088	6518905	71.5
GCA_014204745.1	Streptomyces collinus	DSM 40129	8858480	8218552	6320673	71.5
GCA_021496465.1	Streptomyces collinus	SQ	7502433	7502433	5464794	73
GCA_031348265.1	Streptomyces collinus	CGMCC 4.1623	8867154	8867154	6327020	71.5
GCA_032927875.1	Streptomyces collinus	Inha504	9194571	9194571	6626730	72
GCA_039540655.1	Streptomyces collinus	JCM 4361	8830854	461143	6303971	71.5
GCA_040298545.1	Streptomyces collinus	NPDC001542	8651367	118715	6260642	72.5
GCA_040301045.1	Streptomyces collinus	NPDC000177	8900801	314522	6357731	71.5
GCA_040608895.1	Streptomyces collinus	NPDC004999	8903068	183087	6448458	72.5
GCA_040631495.1	Streptomyces collinus	NPDC020062	9312017	251205	6644467	71.5
GCA_040634125.1	Streptomyces collinus	NPDC007167	8886262	189092	6349498	71.5
GCA_040637625.1	Streptomyces collinus	NPDC028669	9067268	228964	6537399	72
GCA_040679375.1	Streptomyces collinus	NPDC052300	8813917	282320	6379105	72.5
GCA_040683835.1	Streptomyces collinus	NPDC093166	9137865	318088	6518905	71.5
GCF_000444875.1	Streptomyces collinus Tu 365	Tu 365	8377286	8272925	6077789	72.5
GCA_000444875.1	Streptomyces collinus Tu 365	Tu 365	8377286	8272925	6077789	72.5
GCF_001866645.1	Streptomyces colonosanans	MUSC 93	7015076	99963	4903474	70
GCA_001866645.1	Streptomyces colonosanans	MUSC 93	7015076	99963	4903474	70
GCF_012034205.1	Streptomyces composti	SBST2-5	6517216	166826	4707103	72
GCA_012034205.1	Streptomyces composti	SBST2-5	6517216	166826	4707103	72
GCF_019104725.1	Streptomyces corallincola	J2-1	6394983	109407	4627006	72.5
GCA_019104725.1	Streptomyces corallincola	J2-1	6394983	109407	4627006	72.5
GCF_001514055.1	Streptomyces corchorusii	DSM 40340	10309547	211102	7408343	72
GCA_001514055.1	Streptomyces corchorusii	DSM 40340	10309547	211102	7408343	72
GCF_913919575.1	Streptomyces coriariae	CMB-FB	9331620	68940	6638451	71
GCA_913919575.1	Streptomyces coriariae	CMB-FB	9331620	68940	6638451	71
GCF_011044975.1	Streptomyces coryli	A7024	9031846	28409	6457116	71.5
GCA_011044975.1	Streptomyces coryli	A7024	9031846	28409	6457116	71.5
GCF_003346515.1	Streptomyces corynorhini	AC230	7735729	27620	5543634	71.5
GCA_003346515.1	Streptomyces corynorhini	AC230	7735729	27620	5543634	71.5
GCF_039535435.1	Streptomyces cremeus	JCM 4362	7830338	1251892	5669335	72.5
GCA_039535435.1	Streptomyces cremeus	JCM 4362	7830338	1251892	5669335	72.5
GCF_039521265.1	Streptomyces crystallinus	JCM 5067	7901527	165170	5679143	72
GCA_039521265.1	Streptomyces crystallinus	JCM 5067	7901527	165170	5679143	72
GCF_014257025.1	Streptomyces cupreus	PSKA01	9399224	119198	6596939	70
GCA_014257025.1	Streptomyces cupreus	PSKA01	9399224	119198	6596939	70
GCF_001513975.1	Streptomyces curacoi	DSM 40107	8412249	333488	5964315	71
GCA_001513975.1	Streptomyces curacoi	DSM 40107	8412249	333488	5964315	71
GCF_039532705.1	Streptomyces cuspidosporus	JCM 4316	9737097	166232	7055784	72.5
GCA_039532705.1	Streptomyces cuspidosporus	JCM 4316	9737097	166232	7055784	72.5
GCF_003963535.1	Streptomyces cyaneochromogenes	MK-45	10677137	10677137	7541255	70.5
GCA_003963535.1	Streptomyces cyaneochromogenes	MK-45	10677137	10677137	7541255	70.5
GCF_033109485.1	Streptomyces cyaneofuscatus	89-2-2	8117999	8117999	5805726	71.5
GCF_000718135.1	Streptomyces cyaneofuscatus	NRRL B-2570	7899007	353815	5652016	71.5
GCF_010548165.1	Streptomyces cyaneofuscatus	SID10855	7879299	246813	5646108	71.5
GCF_035578105.1	Streptomyces cyaneofuscatus	NEB1061	7960197	7960197	5694236	71.5
GCF_035917555.1	Streptomyces cyaneofuscatus	NBC 01792	7970909	7942995	5702404	71.5
GCF_035918115.1	Streptomyces cyaneofuscatus	NBC 01749	7998820	7942995	5722296	71.5
GCF_035950875.1	Streptomyces cyaneofuscatus	NBC_01338	8429929	8429929	6031364	71.5
GCF_036919415.1	Streptomyces cyaneofuscatus	CTM50504	8246583	17307	5886023	71.5
GCF_040298505.1	Streptomyces cyaneofuscatus	NPDC001580	8523804	264749	6097035	71.5
GCF_040607115.1	Streptomyces cyaneofuscatus	NPDC005326	8275857	188851	5915565	71.5
GCF_040610395.1	Streptomyces cyaneofuscatus	NPDC004112	8068570	382190	5782334	71.5
GCF_040613315.1	Streptomyces cyaneofuscatus	NPDC006282	8127138	155916	5808209	71.5
GCF_040613575.1	Streptomyces cyaneofuscatus	NPDC006253	7939700	139560	5679556	71.5
GCF_040613995.1	Streptomyces cyaneofuscatus	NPDC006179	8238868	50616	5890548	71.5
GCF_040629455.1	Streptomyces cyaneofuscatus	NPDC005911	7823513	394865	5607474	71.5
GCF_040635735.1	Streptomyces cyaneofuscatus	NPDC006880	7991895	35997	5718336	71.5
GCF_040650155.1	Streptomyces cyaneofuscatus	NPDC048744	7941945	311882	5690115	71.5
GCF_040677545.1	Streptomyces cyaneofuscatus	NPDC053817	8134110	369528	5823234	71.5
GCF_040683515.1	Streptomyces cyaneofuscatus	NPDC093536	8367306	70901	5979134	71.5
GCF_040685355.1	Streptomyces cyaneofuscatus	NPDC088753	8309451	24318	5944893	71.5
GCF_040685455.1	Streptomyces cyaneofuscatus	NPDC088751	7998605	341573	5727312	71.5
GCF_040701645.1	Streptomyces cyaneofuscatus	NPDC093168	8708184	386211	6226247	71.5
GCF_040704035.1	Streptomyces cyaneofuscatus	NPDC024065	7888104	209469	5645126	71.5
GCF_040750255.1	Streptomyces cyaneofuscatus	UTDF22-4-2	8119533	110610	5807323	71.5
GCA_000718135.1	Streptomyces cyaneofuscatus	NRRL B-2570	7899007	353815	5652016	71.5
GCA_010548165.1	Streptomyces cyaneofuscatus	SID10855	7879299	246813	5646108	71.5
GCA_033109485.1	Streptomyces cyaneofuscatus	89-2-2	8117999	8117999	5805726	71.5
GCA_035578105.1	Streptomyces cyaneofuscatus	NEB1061	7960197	7960197	5694236	71.5
GCA_035917555.1	Streptomyces cyaneofuscatus	NBC 01792	7970909	7942995	5702404	71.5
GCA_035918115.1	Streptomyces cyaneofuscatus	NBC 01749	7998820	7942995	5722296	71.5
GCA_035950875.1	Streptomyces cyaneofuscatus	NBC_01338	8429929	8429929	6031364	71.5
GCA_036919415.1	Streptomyces cyaneofuscatus	CTM50504	8246583	17307	5886023	71.5
GCA_040298505.1	Streptomyces cyaneofuscatus	NPDC001580	8523804	264749	6097035	71.5
GCA_040607115.1	Streptomyces cyaneofuscatus	NPDC005326	8275857	188851	5915565	71.5
GCA_040610395.1	Streptomyces cyaneofuscatus	NPDC004112	8068570	382190	5782334	71.5
GCA_040613315.1	Streptomyces cyaneofuscatus	NPDC006282	8127138	155916	5808209	71.5
